Time,Setpoint,Speed,Control,Load
0,10,0.0002,12,0
0.001,10,0.000597932,12,0
0.002,10,0.00119175,12,0
0.003,10,0.00197941,12,0
0.004,10,0.00295892,12,0
0.005,10,0.00412827,12,0
0.006,10,0.0054855,12,0
0.007,10,0.00702864,12,0
0.008,10,0.00875576,12,0
0.009,10,0.0106649,12,0
0.01,10,0.0127543,12,0
0.011,10,0.0150219,12,0
0.012,10,0.0174659,12,0
0.013,10,0.0200844,12,0
0.014,10,0.0228757,12,0
0.015,10,0.0258378,12,0
0.016,10,0.0289691,12,0
0.017,10,0.0322677,12,0
0.018,10,0.0357318,12,0
0.019,10,0.0393597,12,0
0.02,10,0.0431497,12,0
0.021,10,0.0471001,12,0
0.022,10,0.051209,12,0
0.023,10,0.055475,12,0
0.024,10,0.0598962,12,0
0.025,10,0.0644711,12,0
0.026,10,0.0691979,12,0
0.027,10,0.0740751,12,0
0.028,10,0.0791011,12,0
0.029,10,0.0842742,12,0
0.03,10,0.0895929,12,0
0.031,10,0.0950556,12,0
0.032,10,0.100661,12,0
0.033,10,0.106407,12,0
0.034,10,0.112292,12,0
0.035,10,0.118316,12,0
0.036,10,0.124476,12,0
0.037,10,0.13077,12,0
0.038,10,0.137198,12,0
0.039,10,0.143759,12,0
0.04,10,0.150449,12,0
0.041,10,0.157269,12,0
0.042,10,0.164217,12,0
0.043,10,0.171291,12,0
0.044,10,0.178489,12,0
0.045,10,0.185812,12,0
0.046,10,0.193256,12,0
0.047,10,0.200822,12,0
0.048,10,0.208507,12,0
0.049,10,0.21631,12,0
0.05,10,0.22423,12,0
0.051,10,0.232265,12,0
0.052,10,0.240415,12,0
0.053,10,0.248678,12,0
0.054,10,0.257052,12,0
0.055,10,0.265537,12,0
0.056,10,0.274132,12,0
0.057,10,0.282834,12,0
0.058,10,0.291643,12,0
0.059,10,0.300558,12,0
0.06,10,0.309577,12,0
0.061,10,0.318699,12,0
0.062,10,0.327924,12,0
0.063,10,0.337249,12,0
0.064,10,0.346674,12,0
0.065,10,0.356198,12,0
0.066,10,0.365819,12,0
0.067,10,0.375536,12,0
0.068,10,0.385349,12,0
0.069,10,0.395256,12,0
0.07,10,0.405255,12,0
0.071,10,0.415347,12,0
0.072,10,0.42553,12,0
0.073,10,0.435803,12,0
0.074,10,0.446164,12,0
0.075,10,0.456613,12,0
0.076,10,0.467149,12,0
0.077,10,0.477771,12,0
0.078,10,0.488477,12,0
0.079,10,0.499267,12,0
0.08,10,0.51014,12,0
0.081,10,0.521094,12,0
0.082,10,0.532129,12,0
0.083,10,0.543244,12,0
0.084,10,0.554438,12,0
0.085,10,0.56571,12,0
0.086,10,0.577059,12,0
0.087,10,0.588483,12,0
0.088,10,0.599983,12,0
0.089,10,0.611557,12,0
0.09,10,0.623205,12,0
0.091,10,0.634924,12,0
0.092,10,0.646716,12,0
0.093,10,0.658578,12,0
0.094,10,0.670509,12,0
0.095,10,0.68251,12,0
0.096,10,0.694579,12,0
0.097,10,0.706715,12,0
0.098,10,0.718917,12,0
0.099,10,0.731185,12,0
0.1,10,0.743518,12,0
0.101,10,0.755914,12,0
0.102,10,0.768374,12,0
0.103,10,0.780896,12,0
0.104,10,0.79348,12,0
0.105,10,0.806124,12,0
0.106,10,0.818828,12,0
0.107,10,0.831592,12,0
0.108,10,0.844414,12,0
0.109,10,0.857294,12,0
0.11,10,0.87023,12,0
0.111,10,0.883223,12,0
0.112,10,0.896271,12,0
0.113,10,0.909374,12,0
0.114,10,0.922531,12,0
0.115,10,0.935742,12,0
0.116,10,0.949005,12,0
0.117,10,0.96232,12,0
0.118,10,0.975686,12,0
0.119,10,0.989103,12,0
0.12,10,1.00257,12,0
0.121,10,1.01609,12,0
0.122,10,1.02965,12,0
0.123,10,1.04326,12,0
0.124,10,1.05692,12,0
0.125,10,1.07063,12,0
0.126,10,1.08438,12,0
0.127,10,1.09818,12,0
0.128,10,1.11202,12,0
0.129,10,1.1259,12,0
0.13,10,1.13983,12,0
0.131,10,1.15381,12,0
0.132,10,1.16782,12,0
0.133,10,1.18188,12,0
0.134,10,1.19597,12,0
0.135,10,1.21011,12,0
0.136,10,1.22429,12,0
0.137,10,1.2385,12,0
0.138,10,1.25276,12,0
0.139,10,1.26705,12,0
0.14,10,1.28138,12,0
0.141,10,1.29575,12,0
0.142,10,1.31016,12,0
0.143,10,1.3246,12,0
0.144,10,1.33907,12,0
0.145,10,1.35358,12,0
0.146,10,1.36813,12,0
0.147,10,1.38271,12,0
0.148,10,1.39732,12,0
0.149,10,1.41196,12,0
0.15,10,1.42664,12,0
0.151,10,1.44135,12,0
0.152,10,1.45609,12,0
0.153,10,1.47086,12,0
0.154,10,1.48566,12,0
0.155,10,1.50049,12,0
0.156,10,1.51535,12,0
0.157,10,1.53024,12,0
0.158,10,1.54516,12,0
0.159,10,1.5601,12,0
0.16,10,1.57507,12,0
0.161,10,1.59007,12,0
0.162,10,1.6051,12,0
0.163,10,1.62015,12,0
0.164,10,1.63523,12,0
0.165,10,1.65033,12,0
0.166,10,1.66546,12,0
0.167,10,1.68061,12,0
0.168,10,1.69579,12,0
0.169,10,1.71098,12,0
0.17,10,1.72621,12,0
0.171,10,1.74145,12,0
0.172,10,1.75672,12,0
0.173,10,1.77201,12,0
0.174,10,1.78732,12,0
0.175,10,1.80265,12,0
0.176,10,1.818,12,0
0.177,10,1.83337,12,0
0.178,10,1.84876,12,0
0.179,10,1.86417,12,0
0.18,10,1.8796,12,0
0.181,10,1.89505,12,0
0.182,10,1.91052,12,0
0.183,10,1.92601,12,0
0.184,10,1.94151,12,0
0.185,10,1.95703,12,0
0.186,10,1.97257,12,0
0.187,10,1.98812,12,0
0.188,10,2.00369,12,0
0.189,10,2.01927,12,0
0.19,10,2.03487,12,0
0.191,10,2.05049,12,0
0.192,10,2.06612,12,0
0.193,10,2.08177,12,0
0.194,10,2.09742,12,0
0.195,10,2.1131,12,0
0.196,10,2.12878,12,0
0.197,10,2.14448,12,0
0.198,10,2.16019,12,0
0.199,10,2.17592,12,0
0.2,10,2.19166,12,0
0.201,10,2.20741,12,0
0.202,10,2.22317,12,0
0.203,10,2.23894,12,0
0.204,10,2.25472,12,0
0.205,10,2.27051,12,0
0.206,10,2.28632,12,0
0.207,10,2.30213,12,0
0.208,10,2.31795,12,0
0.209,10,2.33379,12,0
0.21,10,2.34963,12,0
0.211,10,2.36548,12,0
0.212,10,2.38134,12,0
0.213,10,2.39721,12,0
0.214,10,2.41308,12,0
0.215,10,2.42897,12,0
0.216,10,2.44486,12,0
0.217,10,2.46076,12,0
0.218,10,2.47666,12,0
0.219,10,2.49258,12,0
0.22,10,2.5085,12,0
0.221,10,2.52442,12,0
0.222,10,2.54035,12,0
0.223,10,2.55629,12,0
0.224,10,2.57223,12,0
0.225,10,2.58818,12,0
0.226,10,2.60414,12,0
0.227,10,2.62009,12,0
0.228,10,2.63606,12,0
0.229,10,2.65202,12,0
0.23,10,2.668,12,0
0.231,10,2.68397,12,0
0.232,10,2.69995,12,0
0.233,10,2.71593,12,0
0.234,10,2.73192,12,0
0.235,10,2.74791,12,0
0.236,10,2.7639,12,0
0.237,10,2.77989,12,0
0.238,10,2.79589,12,0
0.239,10,2.81188,12,0
0.24,10,2.82788,12,0
0.241,10,2.84389,12,0
0.242,10,2.85989,12,0
0.243,10,2.8759,12,0
0.244,10,2.8919,12,0
0.245,10,2.90791,12,0
0.246,10,2.92392,12,0
0.247,10,2.93992,12,0
0.248,10,2.95593,12,0
0.249,10,2.97194,12,0
0.25,10,2.98795,12,0
0.251,10,3.00396,12,0
0.252,10,3.01997,12,0
0.253,10,3.03597,12,0
0.254,10,3.05198,12,0
0.255,10,3.06798,12,0
0.256,10,3.08399,12,0
0.257,10,3.09999,12,0
0.258,10,3.11599,12,0
0.259,10,3.13199,12,0
0.26,10,3.14799,12,0
0.261,10,3.16399,12,0
0.262,10,3.17998,12,0
0.263,10,3.19597,12,0
0.264,10,3.21196,12,0
0.265,10,3.22795,12,0
0.266,10,3.24393,12,0
0.267,10,3.25991,12,0
0.268,10,3.27589,12,0
0.269,10,3.29187,12,0
0.27,10,3.30784,12,0
0.271,10,3.3238,12,0
0.272,10,3.33977,12,0
0.273,10,3.35573,12,0
0.274,10,3.37168,12,0
0.275,10,3.38764,12,0
0.276,10,3.40358,12,0
0.277,10,3.41953,12,0
0.278,10,3.43546,12,0
0.279,10,3.4514,12,0
0.28,10,3.46733,12,0
0.281,10,3.48325,12,0
0.282,10,3.49917,12,0
0.283,10,3.51508,12,0
0.284,10,3.53099,12,0
0.285,10,3.54689,12,0
0.286,10,3.56279,12,0
0.287,10,3.57868,12,0
0.288,10,3.59457,12,0
0.289,10,3.61045,12,0
0.29,10,3.62632,12,0
0.291,10,3.64219,12,0
0.292,10,3.65805,12,0
0.293,10,3.6739,12,0
0.294,10,3.68975,12,0
0.295,10,3.70559,12,0
0.296,10,3.72142,12,0
0.297,10,3.73725,12,0
0.298,10,3.75307,12,0
0.299,10,3.76888,12,0
0.3,10,3.78468,12,0
0.301,10,3.80048,12,0
0.302,10,3.81627,12,0
0.303,10,3.83205,12,0
0.304,10,3.84783,12,0
0.305,10,3.86359,12,0
0.306,10,3.87935,12,0
